key,Fund Rollup Level 3,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Contribution Revenue
1255,Cost Sharing,10498,RED NACIONAL DE ARTICULACION P,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,RENAP,PRIV_RENAP,$0
1256,Cost Sharing,10499,PER-MUNICIPALIDAD SAN JUAN LUR,-,-,-,-,$0
1257,Cost Sharing,10500,UNITED NATIONS FOUNDATION,UN_AGY 1,UN AGENCY 1,UNF,AGY_UNITED NATIONS FOUNDATION,$0
1258,Cost Sharing,10503,MINISTRY OF FOREIGN AFFAIRS,NOR,Norway,NOR_MIN,Norway Ministry,"$5,352,652"
1259,Cost Sharing,10504,TURKMEN SOCIETY OF DEAF AND BL,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,TOS & TOG,PRIV_TOS & TOG,$0
1260,Cost Sharing,10507,CHI MINISTERIO DE JUSTICIA,CHL,Chile,CHL_MIN,Chile Ministry,$0
1261,Cost Sharing,10510,MICROSOFT CORPORATION,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,MICROSOFT,PRIV_MICROSOFT CORP,$0
1262,Cost Sharing,10511,SWISS AGENCY FOR DEVELOPMENT A,CHE,Switzerland,CHE_MIN,Switzerland Ministry,$0
1263,Cost Sharing,10512,Comisión Nacional del Medio Am,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,CONAMA,PRIV_CONAMA,$0
1264,Cost Sharing,10513,PER- FONDO ITALO PERUANO,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PER-FONDO,PRIV_PER-FONDO,$0
1265,Cost Sharing,10514,INT. CENTER MIGRATION POL.DEVP,MUTLI_AGY2,MULTI-LATERAL AGENCY2,ICMPD,INT. CENTER MIGRN POL. DEVP,$0
1266,Cost Sharing,10515,JB Fernandes Memorial Trust Fu,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,JB FERNAN,PRIV_JB Fernandes,$0
1267,Cost Sharing,10516,PROBONA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PROBONA,PRIV_PROBONA,$0
1268,Cost Sharing,10517,GLOBAL MECHANISM,UN_AGY 1,UN AGENCY 1,LEB-GM,LEB-GM,($7)
1269,Cost Sharing,10521,ALCALDIA JAGUA DE IBIRICO,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ALC JAGUA,PRIV_ALC JAGUA,$0
1270,Cost Sharing,10522,TIDES FOUNDATION,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,TIDES FOUN,PRIV_TIDES FOUN,$0
1271,Cost Sharing,10523,MUNICIPIO DE MAHATES,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,MAHATES,PRIV_MAHATES,$0
1272,Cost Sharing,10524,MUNICIPIO DE CALAMAR,COL,Colombia,COL_MIN,Colombia Ministry,$0
1273,Cost Sharing,10529,CONSERVACION INTERNACIONAL,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,CI,PRIV_CI,$0
1274,Cost Sharing,10530,BOSTON UNIVERSITY,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BOSTON UNI,PRIV_BOSTON UNI,$0
1275,Cost Sharing,10531,OXFORD UNIVERSITY PRESS,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,OXFORD UNI,PRIV_OXFORD UNI,$0
1276,Cost Sharing,10532,PER-INTERNATIONAL IDEA,MUTLI_AGY2,MULTI-LATERAL AGENCY2,IDEA,INTERNAL INST FOR DEM & EA,$0
1277,Cost Sharing,10533,UN INSTITUTE FOR DISARMAMENT R,UN_AGY 1,UN AGENCY 1,UNIDIR,AGY_UNIDIR,$0
1278,Cost Sharing,10537,GUANGXI STORA ENSO FORESTRY CO,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,STORA ENSO,PRIV_STORA ENSO,$0
1279,Cost Sharing,10538,THE CHARITY SOCIAL FUND ON GEN,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ARAL GENOF,PRIV_ARAL GENOF,$0
1280,Cost Sharing,10539,HUMAN DIGNITY AND PEACE FOUNDA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,HDP,PRIV_HDP,$0
1281,Cost Sharing,10540,PER-AGENCIA SUIZA PARA EL DESA,CHE,Switzerland,CHE_MIN,Switzerland Ministry,$0
1282,Cost Sharing,10541,NASSCOM FOUNDATION,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,NASSCOM,PRIV_NASSCOM,$0
1283,Cost Sharing,10542,NORTH-SOUTH CENTRE - COUNCIL O,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,NSC CE,PRIV_NSC CE,$0
1284,Cost Sharing,10544,TITAN CHEMICALS CORPORATION BE,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,TITAN CHEM,PRIV_TITAN CHEM,$0
1285,Cost Sharing,10545,INTERNATIONAL IDEA,MUTLI_AGY2,MULTI-LATERAL AGENCY2,IDEA,INTERNAL INST FOR DEM & EA,"$25,000"
1286,Cost Sharing,10546,DANFOSS GROUP,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,DANFOSS,PRIV_DANFOSS,$0
1287,Cost Sharing,10547,GOVERNMENT OF BALOCHISTAN,PAK,Pakistan,PAK_GOVT,Pakistan Government,$0
1288,Cost Sharing,10550,GOVERNMENT OF NWFP,PAK,Pakistan,PAK_GOVT,Pakistan Government,"$679,996"
1289,Cost Sharing,10552,CROSS RIVER STATE GOVERNMENT,NGA,Nigeria,NGA_GOVT,Nigeria Government,$0
1290,Cost Sharing,10553,ZAMFARA STATE GOVERNMENT,NGA,Nigeria,NGA_GOVT,Nigeria Government,$0
1291,Cost Sharing,10554,ENUGU STATE GOVERNMENT,NGA,Nigeria,NGA_GOVT,Nigeria Government,$0
1292,Cost Sharing,10555,GOMBE STATE GOVERNMENT,NGA,Nigeria,NGA_GOVT,Nigeria Government,$0
1293,Cost Sharing,10556,LAGOS STATE GOVERNMENT,NGA,Nigeria,NGA_GOVT,Nigeria Government,$0
1294,Cost Sharing,10557,NIGER STATE GOVERNMENT,NGA,Nigeria,NGA_GOVT,Nigeria Government,$0
1295,Cost Sharing,10558,ABIA STATE GOVERNMENT,NGA,Nigeria,NGA_GOVT,Nigeria Government,"($5,954)"
1296,Cost Sharing,10559,ADAMAWA STATE GOVERNMENT,NGA,Nigeria,NGA_GOVT,Nigeria Government,$0
1297,Cost Sharing,10560,AKWA IBOM STATE GOVERMENT,NGA,Nigeria,NGA_GOVT,Nigeria Government,$0
1298,Cost Sharing,10561,BAUCHI STATE GOVERMENT,NGA,Nigeria,NGA_GOVT,Nigeria Government,$0
1299,Cost Sharing,10562,ONDO STATE GOVERNMENT,NGA,Nigeria,NGA_GOVT,Nigeria Government,$0
1300,Cost Sharing,10563,SOKOTO STATE GOVERNMENT,NGA,Nigeria,NGA_GOVT,Nigeria Government,"$126,662"
1301,Cost Sharing,10565,GOBIERNO VASCO,ESP,Spain,ESP_GOVT,Spain Government,($2)
1302,Cost Sharing,10566,HEGOA - DESCENTRALIZED COOPETA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,CUB-HEGOA,PRIV_CUB-HEGOA,$0
1303,Cost Sharing,10567,EUKAL FONDOA,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,CUB-EUSKAL,PRIV_CUB-EUSKAL,$0
1304,Cost Sharing,10569,ONG ERIKSHJALPEN,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,CUB-ERIKSH,PRIV_CUB-ERIKSH,$0
1305,Cost Sharing,10570,TUSCANY REGION,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,TUSCANY,PRIV_TUSCANY,$66
1306,Cost Sharing,10572,TRINIDAD & TOBAGO RED CROSS SO,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,TT RED CROSS,PRIV_TT RED CROSS,$0
1307,Cost Sharing,10574,GRET-GRUPO DE INVERSTIGATCION,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,ONG-GRET,PRIV_ONG-GRET,$0
1308,Cost Sharing,10575,UNIVERSIDAD DE YORK CANADA,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,CUB-UNIVYO,PRIV_CUB-UNIVYO,$0
1309,Cost Sharing,10576,INT FUND FOR SAVING THE ARAL S,MUTLI_AGY2,MULTI-LATERAL AGENCY2,IFSAS,IFSAS,$0
1310,Cost Sharing,10578,DOEN FOUNDATION,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,DOEN,DOEN FOUNDATION,$0
1311,Cost Sharing,10579,UNFPA HONDURAS,UN_AGY 1,UN AGENCY 1,UNFPA,AGY_UNITED NATIONS POPULATION,$0
1312,Cost Sharing,10580,GOBERNACION DE BOYACA,COL,Colombia,COL_GOVT,Colombia Government,$0
1313,Cost Sharing,10581,DEUTSCHE GESELLSCHAFT FUR TECH,DEU,Germany,DEU_AGY_GIZ,Germany Agency GIZ,$0
1314,Cost Sharing,10582,SOKA GAKKAI THAILAND,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,SOKA GAKKAI,PRIV-SOKA GAKKAI,$0
1315,Cost Sharing,10583,ROLLS-ROYCE (THAILAND) LTD,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ROLLS ROYCE,PRIV_ROLLS ROYCE,$0
1316,Cost Sharing,10585,JOHNSON & JOHNSON FAMILY OF CO,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,JOHNSON & J,PRIV_USA,"$50,000"
1317,Cost Sharing,10586,RAOUL WALLENBERG INSTITUTE,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,R W I,PRIV_R W I,$0
1318,Cost Sharing,10587,MINISTRY OF PUB UTILITIES & EN,TTO,Trinidad and Tobago,TTO_MIN,Trinidad and Tobago Ministry,$0
1319,Cost Sharing,10588,FONDO DE VENTAS POPULARES DE B,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,FVPB,PRIV_FVPB,$0
1320,Cost Sharing,10591,COMITE SIENA,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,CUB-SIENA,PRIV_CUB-SIENA,$0
1321,Cost Sharing,10592,CUB - LIVORNO,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,LIVORNO,PRIV_LIVORNO,$0
1322,Cost Sharing,10598,INTEL CORPORATION,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,INTEL,PRIV_INTEL CORP,$0
1323,Cost Sharing,10600,SWEDBIO,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,SWEDBIO,PRIV_SWEDBIO,$0
1324,Cost Sharing,10601,URU - PROG. AGENDA METROPOLITA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PR.AG.MET.,PRIV_PR.AG.MET.,$0
1325,Cost Sharing,10602,UN-HABITAT,UN_AGY 1,UN AGENCY 1,UNCHS,AGY_UN CENTRE FOR HUMAN SETTLE,"$354,946"
1326,Cost Sharing,10604,SHELL DE VENEZUELA S.A.,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,SHELL CO,PRIV_UKM,$0
1327,Cost Sharing,10605,DEVELOPMENT COOPERATION IRELAN,IRL,Ireland,IRL_GOVT,Ireland Government,$0
1328,Cost Sharing,10606,Cisco Systems International BV,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,CISCO BV,PRIV_CISCO BV,$0
1329,Cost Sharing,10611,CITIES ALLIANCE,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,CITIES ALL,PRIV_CITIES ALL,$0
1330,Cost Sharing,10613,METROVIVIENDA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,METRIVIVIE,PRIV_METRIVIVIE,"($17,366)"
1331,Cost Sharing,10614,EMPRESA DE RENOVACION URBANA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ERU,PRIV_ERU,$0
1332,Cost Sharing,10616,NORTHERN AREAS ADMINISTRATION,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PAK-NAS,PRIV_PAK-NAS,$0
1333,Cost Sharing,10617,BP TRINIDAD AND TOBAGO (BPTT),PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,BP,PRIV_BRITISH PETROLEUM,$0
1334,Cost Sharing,10618,MIN OF ENERGY AND ENERGY IND.,TTO,Trinidad and Tobago,TTO_MIN,Trinidad and Tobago Ministry,$0
1335,Cost Sharing,10619,TOURISM DEV. CO. LTD (TDC),PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,TRI-TDC,PRIV_TOURISM DEV,$0
1336,Cost Sharing,10620,CONFLICT PREVENTION COMPONENT,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,GCPP,PRIV_GCPP,$0
1337,Cost Sharing,10621,ROSAGROFUND,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ROSAGROFUND,PRIV_ROSAGROFUND,$0
1338,Cost Sharing,10622,PER-MUNI. DIST. VILLA SALVADOR,PER,Peru,PER_MIN,Peru Ministry,$0
1339,Cost Sharing,10623,PER-MUNI DISTRITAL SJM,PER,Peru,PER_MIN,Peru Ministry,$0
1340,Cost Sharing,10624,PER-Muni Dist. Ventanilla,PER,Peru,PER_MIN,Peru Ministry,$0
1341,Cost Sharing,10625,PER - Muni Dist. Comas,PER,Peru,PER_MIN,Peru Ministry,$0
1342,Cost Sharing,10627,PER-MUNI DISTRITAL ATE,PER,Peru,PER_MIN,Peru Ministry,$0
1343,Cost Sharing,10628,PER-MUNI. PROV SAN MARTIN,-,-,-,-,$0
1344,Cost Sharing,10629,PER-MUNI. PROV. PISCO,PER,Peru,PER_MIN,Peru Ministry,$0
1345,Cost Sharing,10630,PER-MUNI. PROV. PASCO,PER,Peru,PER_MIN,Peru Ministry,$0
1346,Cost Sharing,10631,PER-MUNI. DIST. SAN. MARTIN PO,PER,Peru,PER_MIN,Peru Ministry,$0
1347,Cost Sharing,10632,PER-MUNIDIST. VILLA MA. TRIUNF,PER,Peru,PER_MIN,Peru Ministry,$0
1348,Cost Sharing,10633,PER-MUNI. DIST. PUENTE PIEDRA,PER,Peru,PER_MIN,Peru Ministry,$0
1349,Cost Sharing,10634,PER-MUNI. PROV. PIURA,PER,Peru,PER_MIN,Peru Ministry,$0
1350,Cost Sharing,10635,PER-MUNI. PROV SAN ROMAN,PER,Peru,PER_MIN,Peru Ministry,$0
1351,Cost Sharing,10636,PER-MUNICIP. PORVINCIAL DE ILO,PER,Peru,PER_MIN,Peru Ministry,$0
1352,Cost Sharing,10639,SAUDI COMMITEE FOR PP RELIEF,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,SAUDI COMM,PRIV_SAUDI COMM,"$360,034"
1353,Cost Sharing,10642,CDC ATLANTA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,CDC ATLANTA,PRIV_CDC ATLANTA,$0
1354,Cost Sharing,10643,FAMILY HEALTH ORGANIZATION,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,FHI,PRIV_FHI,$0
1355,Cost Sharing,10644,MINISTRY OF LOCAL GOVERNMENT,TTO,Trinidad and Tobago,TTO_MIN,Trinidad and Tobago Ministry,$0
1356,Cost Sharing,10645,MINISTERIO DE ENRGIA Y MINAS,ECU,Ecuador,ECU_MIN,Ecuador Ministry,$0
1357,Cost Sharing,10647,FIRST DATA WESTERN UNION FOUND,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,FIRST UNION,PRIV_FIRST UNION,$0
1358,Cost Sharing,10652,PETRA PERDANA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PETRA,PRIV_PETRA,$0
1359,Cost Sharing,10653,CORAID,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,CORAID,PRIV_CORAID,$0
1360,Cost Sharing,10654,ASOCIATIA DE TURISM MONTAN,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ASOCMAISUS,PRIV_ASOCMAISUS,$0
1361,Cost Sharing,10655,PER-MUNI.DIST.RIMAC,PER,Peru,PER_MIN,Peru Ministry,$0
1362,Cost Sharing,10656,PER-MUNI.DIST.INDEPENDENCIA,PER,Peru,PER_MIN,Peru Ministry,$0
1363,Cost Sharing,10658,FONDO ANDALUZ DE MUNICIPIOS,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,FAMSI 2,PRIV_FAMSI 2,$0
1364,Cost Sharing,10661,ORANGE ROMANIA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ORANGE,PRIV_ORANGE,($140)
1365,Cost Sharing,10663,PFIZER MALAYSIA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PFIZERMAL,PRIV_PFIZERMAL,$0
1366,Cost Sharing,10664,TORGHAR ENVIRONMENTAL PROTECTI,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,STEP,PRIV_STEP,$0
1367,Cost Sharing,10665,SOCIAL SCIENCE RESEARCH COUNCI,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,SSRC,PRIV_SSRC,$0
1368,Cost Sharing,10666,PER-MUNI.DIST.EL AGUSTINO,PER,Peru,PER_MIN,Peru Ministry,$0
1369,Cost Sharing,10667,BUL MINISTRY OF ENVIRONMENT AN,BGR,Bulgaria,BGR_MIN,Bulgaria Ministry,$0
1370,Cost Sharing,10668,UNDOF - SYRIA,UN_AGY 1,UN AGENCY 1,UNDOF,AGY_UNDOF,($2)
1371,Cost Sharing,10669,UNRWA - SYRIA,UN_AGY 1,UN AGENCY 1,UNRWA,AGY_UNRWA,($1)
1372,Cost Sharing,10670,UNTSO - SYRIA,UN_AGY 1,UN AGENCY 1,UNTSO,AGY_UNTSO,$0
1373,Cost Sharing,10671,IOM - SYRIA,UN_AGY 1,UN AGENCY 1,IOM,AGY_INTERNATIONAL ORGANIZATION,$0
1374,Cost Sharing,10672,CARIBBEAN REGIONAL NETWORK +,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,CRN+,PRIV_CRN+,$0
1375,Cost Sharing,10673,DIVISION OF HEALTH,-,-,-,-,$0
1376,Cost Sharing,10674,BANCO DE FOMENTO,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BANCO DE,PRIV_BANCO DE,$0
1377,Cost Sharing,10676,CONTRALORIA DPTAL DE CALDAS,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,CONTRACALI,PRIV_CONTRACALI,$0
1378,Cost Sharing,10677,UN STAFF COMMITEE FOR TSUNAMI,UN_AGY 1,UN AGENCY 1,UNSTAFFCOM,UNSTAFFCOM,$0
1379,Cost Sharing,10678,MINISTRY OF EDUCATION,TTO,Trinidad and Tobago,TTO_MIN,Trinidad and Tobago Ministry,$0
1380,Cost Sharing,10679,CDPMM,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,CDPMM,PRIV_CDPMM,$0
1381,Cost Sharing,10680,WORLD ECONOMIC FORUM,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,WEF,PRIV_WEF,$0
1382,Cost Sharing,10681,VESPUCIO SUR,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,VESPSUR,PRIV_CHILE,$0
1383,Cost Sharing,10683,SAUDI ARABIAN BRITISH BANK,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,SABB,PRIV_SABB,$0
1384,Cost Sharing,10684,MINISTRY OF BASIC EDUCATION,NAM,Namibia,NAM_MIN,Namibia Ministry,$0
1385,Cost Sharing,10685,INTERNATIONAL DEVELOPMENT ASSO,MUTLI_AGY2,MULTI-LATERAL AGENCY2,WB,WORLD BANK,"($14,118)"
1386,Cost Sharing,10686,ERF,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ERF,PRIV_ERF,$0
1387,Cost Sharing,10687,PER FONCODES,-,-,-,-,$0
1388,Cost Sharing,10695,PRIVATE OIL EXPLOITING COMPANY,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,POEC,PRIV_POEC,$0
1389,Cost Sharing,10697,MINISTRY OF HEALTH - TURKEY,TUR,Turkey,TUR_MIN,Turkey Ministry,$0
1390,Cost Sharing,10698,CISCO,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,CISCO BV,PRIV_CISCO BV,$0
1391,Cost Sharing,10699,WORLD CONSERVATION UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,WCU,WORLD CONSERVATION UNION,"$203,579"
1392,Cost Sharing,10700,ESSO EXPLORTION ANGOLA LIMITED,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ESSO-EXPL-ANG,PRIV_ESSO-EXPL-ANG,$0
1393,Cost Sharing,10701,FLINDERS ISLAND COUNCIL,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,FLINDERS,PRIV_FLINDERS,$0
1394,Cost Sharing,10702,ROTARY CLUB OF SALAMANDER BAY,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,ROTARYCLUB,PRIV_ROTARYCLUB,$0
1395,Cost Sharing,10704,AUTOPISTA CENTRAL,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,VESPNORTE,PRIV_VESPNORTE,$0
1396,Cost Sharing,10705,COSTANERA NORTE,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,COSTANERA,PRIV_COSTANERA,$0
1397,Cost Sharing,10706,VESPUCIO NORTE,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,AUTOPISTA,PRIV_AUTOPISTA,$0
1398,Cost Sharing,10707,HEYDAR ALIYEV FOUNDATION-AZERB,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,AZE-H.A.F,PRIV_HEYDAR FOUND,"$150,089"
1399,Cost Sharing,10710,BUL MINISTRY STATE ADMINISTRAT,BGR,Bulgaria,BGR_MIN,Bulgaria Ministry,$0
1400,Cost Sharing,10711,WORLD CULTURE OPEN (WCO),PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,WCO,PRIV_WCO,$0
1401,Cost Sharing,10712,KOREA INTERN. COOPERATION AGEN,KOR,Republic of Korea,KOR_MIN,Republic of Korea Ministry,"$331,936"
1402,Cost Sharing,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,"$166,451,812"
1403,Cost Sharing,10716,GRENADA RELIEF FUND,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,GRENEDAREL,PRIV_GRENEDAREL,$0
1404,Cost Sharing,10717,AEDES,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,AEDES,PRIV_AEDES,$0
1405,Cost Sharing,10718,ARMACELL INTERNATIONAL GMBH,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,ARMACELL,PRIV_ARMACELL,$0
1406,Cost Sharing,10719,MUNICIPIO DE COLTA,ECU,Ecuador,ECU_MIN,Ecuador Ministry,$0
1407,Cost Sharing,10720,GOBERNACION DEL HUILA,COL,Colombia,COL_MIN,Colombia Ministry,$0
1408,Cost Sharing,10721,IDA-MULTI-DONOR TF ACEH & N SU,MUTLI_AGY2,MULTI-LATERAL AGENCY2,CO_AA_MDTF,CO_AA_MDTF,"($1,123,803)"
1409,Cost Sharing,10722,"SECRETAIA DE DESARROLLO RURAL,",MEX,Mexico,MEX_MIN,Mexico Ministry,$0
1410,Cost Sharing,10723,SECRETAROA DE DESARROLLO AGROP,MEX,Mexico,MEX_MIN,Mexico Ministry,$0
1411,Cost Sharing,10724,MINISTRY OF INVESTMENT - EGYPT,EGY,Egypt,EGY_MIN,Egypt Ministry,$0
1412,Cost Sharing,10726,GOBIERNO DEL ESTADO DE VERACRU,MEX,Mexico,MEX_MIN,Mexico Ministry,$0
1413,Cost Sharing,10727,GOBIENO DEL ESTADO DE CAMPECHE,MEX,Mexico,MEX_MIN,Mexico Ministry,$0
1414,Cost Sharing,10728,GOBIERNO DEL ESTADO DE OAXACA/,MEX,Mexico,MEX_MIN,Mexico Ministry,$0
1415,Cost Sharing,10729,SYR MINISTRY OF ECONOMY,SYR,Syrian Arab Republic,SYR_MIN,Syria Ministry,$0
1416,Cost Sharing,10730,SYR MINISTRY OF TRANSPORTATION,SYR,Syrian Arab Republic,SYR_MIN,Syria Ministry,$0
1417,Cost Sharing,10731,SYRIAN ARAB AIRLINES,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,SYRARABA,PRIV_SYRARABA,$0
1418,Cost Sharing,10732,DIPUTACION DE BARCELONA,ESP,Spain,ESP_MIN,Spain Ministry,$0
1419,Cost Sharing,10733,GOBIENOS ESTATALES,MEX,Mexico,MEX_MIN,Mexico Ministry,"$11,239"
1420,Cost Sharing,10734,INSTITUTE GLOBAL ENVI STRATEGY,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,IGES,PRIV_IGES,$0
1421,Cost Sharing,10735,NATFUND ECONOMRESEARCH&LEG.INI,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,NFERLI,PRIV_NFERLI,$0
1422,Cost Sharing,10736,JAPAN MINE ACTION SERVICE,JPN,Japan,JPN_MIN,Japan Ministry,$0
1423,Cost Sharing,10737,COCA COLA COMPANY,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,COCA COLA,PRIV_COCA COLA,"$3,619,827"
1424,Cost Sharing,10741,PER-AMAZONAS,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PER_AMAZON,PRIV_PER AMAZON,$0
1425,Cost Sharing,10742,PER-BAGUA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PER - BAGUA,PRIV_PER BAGUA,$0
1426,Cost Sharing,10743,PER-ABANCAY,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PER - ABANCA,PRIV_PER ABANCA,$0
1427,Cost Sharing,10744,PER-TRUJILLO,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PER - TRUJIL,PRIV_PER TRUJIL,$0
1428,Cost Sharing,10745,PER-ICA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PER - ICA,PRIV_PER ICA,$0
1429,Cost Sharing,10746,PER-LA VICTORIA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PER - LA VIC,PRIV_PER LA VIC,$0
1430,Cost Sharing,10748,PER-HUANUCO,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PER - HUANUC,PRIV_PER HUANUC,$0
1431,Cost Sharing,10749,PER-LIMA CERCADO,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PER - LIM CER,PRIV_PER LIM CER,$0
1432,Cost Sharing,10750,FRIEDRICH EBERT STIFTUNG E.V.,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,SLOFRIEDRI,FES_ PRIV_GERMANY,$0
1433,Cost Sharing,10752,NOVOGRAD-VOLYNSKY MUNICIPALITY,UKR,Ukraine,UKR_MIN,Ukraine Ministry,$0
1434,Cost Sharing,10753,CENTRO DE INICIATIVAS PARA COO,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,CIC BATA,PRIV-CIC BATA,$0
1435,Cost Sharing,10754,VALYUT TRANZIT BANK,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,VTBANK,PRIV_VTBANK,$0
1436,Cost Sharing,10756,THE BROOKINGS INSTITUTION,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,BROOKINGS,PRIV_BROOKINGS,$0
