OU Description,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Contribution Revenue
Jordan,140,GOVERNMENT OF JORDAN,JOR,Jordan,JOR_GOVT,Jordan Government,"511,880.89"
Colombia,572,COL-AGENCIA PRESIDENCIAL DE CO,COL,Colombia,COL_MIN,Colombia Ministry,"511,056.41"
Bratislava Regional Center,80,GOVERNMENT OF CZECH REPUBLIC,CZE,Czech Republic,CZE_GOVT,Czech Republic Government,"510,673.07"
"Sudan, Republic of the",187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"505,271.91"
Armenia,11266,Austrian Development Agency,AUT,Austria,AUT_GOVT,Austria Government,"502,750.99"
China,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,"501,770.71"
Bureau for Dev. Policy,1864,World Trade Organization,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,"500,000.00"
Somalia,11526,MDTFO/JP_Somalia_Humanitarian,MDTF1,BU,SOM_CHF,MDTFO/JP_Somalia_Humanitarian,"500,000.00"
Syria,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"500,000.00"
Yemen,210,GOVERNMENT OF SAUDI ARABIA,SAU,Saudi Arabia,SAU_GOVT,Saudi Arabia Government,"500,000.00"
Zambia,10480,USAID,USA,United States of America,USAID,USAID,"500,000.00"
Ghana,10503,MINISTRY OF FOREIGN AFFAIRS,NOR,Norway,NOR_MIN,Norway Ministry,"495,726.50"
India,131,GOVERNMENT OF INDIA,IND,India,IND_GOVT,India Government,"493,901.47"
Tajikistan,232,GOVERNMENT OF SWITZERLAND,CHE,Switzerland,CHE_GOVT,Switzerland Government,"488,572.68"
Barbados,11724,European Comm. Humanit. Aid Of,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"485,006.52"
Timor-Leste,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,"481,559.51"
Guatemala,11554,MDTFO/JP_Guatemala_Rural_Dev,MDTF1,BU,JP_RURDEV,MDTFO/JP_Guatemala_Rural_Dev,"480,942.00"
Libya,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"480,620.16"
Liberia,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"479,307.59"
PB,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"477,099.24"
Mozambique,296,UNITED NATIONS,UN_AGY 1,UN AGENCY 1,UN,United Nations,"476,344.55"
Guatemala,11776,United Nations Trust Fund for,UN_AGY 1,UN AGENCY 1,UN,United Nations,"473,071.18"
Sierra Leone,11400,MDTFO/JP_Sierra_Leone_MDTF,MDTF1,BU,SL_MDTF,JP SIERRA LEONE,"470,800.00"
Uzbekistan,1077,UZB-GOVERNMENT,UZB,Uzbekistan,UZB_GOVT,Uzbekistan Government,"469,671.25"
Chile,11724,European Comm. Humanit. Aid Of,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"469,268.87"
Egypt,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"455,927.05"
Prog for Palestinian People,248,GOVERNMENT OF UNITED KINGDOM,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"453,172.20"
Brazil,1053,BRA-MIN DO DESENVOL VIMENTO S,BRA,Brazil,BRA_MIN,Brazil Ministry,"446,614.71"
"South Sudan, Republic of",10480,USAID,USA,United States of America,USAID,USAID,"446,563.12"
Lebanon,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"437,317.80"
Tunisia,10282,SWISS AGY FOR DEVELOPMENT & CO,CHE,Switzerland,CHE_MIN,Switzerland Ministry,"423,280.42"
Cambodia,550,CANADIAN INTERNATIONAL DEVELOP,CAN,Canada,CAN_MIN,Canada Ministry,"422,885.57"
Reg Bur Latin Amer & Carib,11777,Secretaria Particular Oaxaca,MEX,Mexico,MEX_GOVT,Mexico Government,"422,055.00"
Papua New Guinea,11724,European Comm. Humanit. Aid Of,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"417,209.90"
Sri Lanka,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,"410,970.91"
Evaluation Office,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"410,186.29"
Lebanon,137,GOVERNMENT OF ITALY,ITA,Italy,ITA_GOVT,Italy Government,"407,055.63"
Eritrea,11362,UNOCHA/Central_Emg_Resp_Fund,UN_AGY 1,UN AGENCY 1,OCHA,AGY_UNOCHA1,"400,000.00"
Lebanon,41,UNITED NATIONS ENVIRONMENT PRO,UN_AGY 1,UN AGENCY 1,UNEP,AGY_UNITED NATIONS ENVIRONMENT,"400,000.00"
Timor-Leste,199,GOVERNMENT OF PORTUGAL,PRT,Portugal,PRT_GOVT,Portugal Government,"399,401.88"
Lebanon,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,"398,712.03"
Tajikistan,296,UNITED NATIONS,UN_AGY 1,UN AGENCY 1,UN,United Nations,"397,403.35"
Mozambique,11403,SDC-Swiss Agency For Developme,CHE,Switzerland,CHE_MIN,Switzerland Ministry,"396,825.40"
Georgia,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"392,789.45"
Montenegro,10472,Government of Montenegro,MNE,MONTENEGRO,MNE_GOVT,Government of Montenegro,"382,988.91"
Trinidad and Tobago,1751,TRI-THE GOVERNMENT OF TRINIDAD,TTO,Trinidad and Tobago,TTO_GOVT,Trinidad and Tobago Government,"380,878.54"
Lesotho,11211,IRISH AID,IRL,Ireland,IRL_GOVT,Ireland Government,"380,637.80"
Brazil,11488,BRA-Caixa Economica federal,BRA,Brazil,BRA_GOVT,Brazil Government,"378,967.31"
"Sudan, Republic of the",119,GOVERNMENT OF GREECE,GRC,Greece,GRC_GOVT,Greece Government,"377,558.79"
Ecuador,11824,ECU Gobierno Provincial El Oro,ECU,Ecuador,ECU_MIN,Ecuador Ministry,"375,000.00"
Chile,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"365,733.57"
Lebanon,11403,SDC-Swiss Agency For Developme,CHE,Switzerland,CHE_MIN,Switzerland Ministry,"363,726.81"
Bratislava Regional Center,11521,Ministry of Labour slovak Rep,SVK,Slovak Republic,SVK_GOVT,Slovak Republic Government,"360,664.21"
Prog for Palestinian People,10639,SAUDI COMMITEE FOR PP RELIEF,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,SAUDI COMM,PRIV_SAUDI COMM,"360,034.47"
"Moldova, Republic of",95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,"359,773.86"
Bosnia and Herzegovina,11776,United Nations Trust Fund for,UN_AGY 1,UN AGENCY 1,UN,United Nations,"356,683.22"
Afghanistan,232,GOVERNMENT OF SWITZERLAND,CHE,Switzerland,CHE_GOVT,Switzerland Government,"355,491.75"
United Arab Emirates,12124,International Humanitarian Cit,-,-,-,-,"350,000.00"
"South Sudan, Republic of",11445,UNOPS - EIF Trust Fund manager,UN_AGY 1,UN AGENCY 1,EIF TFM,MULITAG_EIF TF,"347,000.00"
Turkey,11939,SABANCI FOUNDATION,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,TURKEY,PRIVATE NATIONAL,"344,800.00"
Iraq,10602,UN-HABITAT,UN_AGY 1,UN AGENCY 1,UNCHS,AGY_UN CENTRE FOR HUMAN SETTLE,"342,946.00"
"Lithuania, Republic of",1253,LIT-GOVERNMENT OF LITHUANIA,LTU,Lithuania,LTU_GOVT,Lithuania Government,"341,372.93"
Thailand,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"339,431.36"
Bosnia and Herzegovina,232,GOVERNMENT OF SWITZERLAND,CHE,Switzerland,CHE_GOVT,Switzerland Government,"338,934.56"
Colombia,11947,Agencia Nacional de Hydrocarbu,COL,Colombia,COL_MIN,Colombia Ministry,"337,246.05"
PB,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,"335,720.68"
Colombia,10712,KOREA INTERN. COOPERATION AGEN,KOR,Republic of Korea,KOR_MIN,Republic of Korea Ministry,"331,936.30"
Guatemala,10465,AGENCIA CATALANA DE COOP AL DE,ESP,Spain,ESP_GOVT,Spain Government,"331,564.99"
Swaziland,230,GOVERNMENT OF SWAZILAND,SWZ,Swaziland,SWZ_GOVT,Swaziland Government,"329,012.09"
Bureau for Dev. Policy,117,GOVERNMENT OF GERMANY,DEU,Germany,DEU_GOVT,Germany Government,"327,256.09"
Lebanon,1128,LEB-INVESTMENT DEVELOPMENT AUT,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,IDAL,PRIV_LEB-INVESTMENT DEVELOPMEN,"327,011.00"
Barbados,12077,AUSTRALIAN GOV DEPT IICCSRTE,AUS,Australia,AUS_GOVT,Australia Government,"326,492.54"
Lebanon,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"325,972.08"
Egypt,11752,Sawiris Foundation,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,EGYPT,PRIVATE NATIONAL,"325,791.64"
Colombia,10214,INCODER,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,INCODER,PRIV_INCODER,"324,542.97"
Nigeria,28,UN Office on Drugs and Crime,UN_AGY 1,UN AGENCY 1,UNODC,AGY_UN INTERNATIONAL DRUG CONT,"321,180.69"
Serbia,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"320,241.70"
Sierra Leone,12000,Adam Smith International,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,ASI,Adam Smith International,"319,830.00"
United Republic of Tanzania,10008,UN Office for Project Services,UN_AGY 1,UN AGENCY 1,UNOPS,United Nations Office for Proj,"319,000.00"
Nigeria,11822,Ekiti State Government,NGA,Nigeria,NGA_GOVT,Nigeria Government,"315,855.97"
Myanmar,11724,European Comm. Humanit. Aid Of,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"312,907.43"
Trinidad and Tobago,11704,Government of Curacao,CUV,CURACAO,CUV_GVT,Curacao Goverment,"305,986.20"
Tunisia,248,GOVERNMENT OF UNITED KINGDOM,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"303,951.37"
Maldives,11410,Foreign common wealth ofice,GBR,United Kingdom,GBR_MIN,United Kingdom Ministry,"303,435.27"
Senegal,61,GOVERNMENT OF BELGIUM,BEL,Belgium,BEL_GOVT,Belgium Government,"303,129.07"
Bratislava Regional Center,206,GOVERNMENT OF RUSSIAN FEDERATI,RUS,Russian Federation,RUS_GOVT,Russian Federation Government,"300,564.00"
Fiji,11445,UNOPS - EIF Trust Fund manager,UN_AGY 1,UN AGENCY 1,EIF TFM,MULITAG_EIF TF,"300,000.00"
Guinea,123,GOVERNMENT OF GUINEA,GIN,Guinea,GIN_GOVT,Guinea Government,"300,000.00"
Reg Bur for Arab States,11120,OPEC Fund for International De,MUTLI_AGY2,MULTI-LATERAL AGENCY2,OFID,OPEC FUND INTL DEV,"300,000.00"
Togo,11137,WEST AFRICAN ECONOMIC AND MONE,MUTLI_AGY2,MULTI-LATERAL AGENCY2,UEMOA,UEMOA,"299,853.56"
Kosovo,117,GOVERNMENT OF GERMANY,DEU,Germany,DEU_GOVT,Germany Government,"297,708.49"
Brazil,11764,BRA Banco do Nordeste do Brasi,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,"296,610.17"
Tajikistan,559,OFFICE OF THE HIGH COMMISSIONE,UN_AGY 1,UN AGENCY 1,OHCHR,AGY_OFFICE OF THE HIGH COMMISS,"295,040.00"
Mexico,10057,EMPRESAS PRIVADAS,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,MEX EMPRES,PRIV_EMPRESAS PRIVADAS,"293,770.39"
Ecuador,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,"292,878.45"
Kosovo,12083,Regional Environmental C,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,REC,Regional Environmental C,"291,777.19"
Thailand,11461,ANESVAD Foundation,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,ANESVAD,PRIV_SPAIN,"291,729.00"
Uruguay,1293,URU-MINISTERIO DE ECONOMIA Y F,URY,Uruguay,URY_MIN,Uruguay Ministry,"290,775.00"
Niger,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,"290,421.41"
Maldives,55,GOVERNMENT OF AUSTRALIA,AUS,Australia,AUS_GOVT,Australia Government,"289,017.33"
Afghanistan,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,"287,089.68"
Brazil,16,INTER-AMERICAN DEVELOPMENT BAN,MUTLI_AGY2,MULTI-LATERAL AGENCY2,IDB,Inter-American Development Ban,"284,534.36"
Thailand,11207,US Department of State,USA,United States of America,USA_GOVT,United States of America Gover,"283,370.00"
Sri Lanka,296,UNITED NATIONS,UN_AGY 1,UN AGENCY 1,UN,United Nations,"280,821.54"
Costa Rica,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"280,233.00"
China,297,UNAIDS,UN_AGY 1,UN AGENCY 1,UNAIDS,AGY_UNAIDS,"277,745.11"
Egypt,182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,"277,537.37"
Bureau for Dev. Policy,155,GOVERNMENT OF LUXEMBOURG,LUX,Luxembourg,LUX_GOVT,Luxembourg Government,"275,966.00"
Bolivia,11956,MDTFO/UNDP-JP Bolivia Indi Sup,MDTF1,BU,BOL JP,MDTFO/UNDP-JP Bolivia Indi Sup,"270,855.00"
Georgia,11793,UNDP AS MA_POOLED FUNDS,UN_AGY 1,UN AGENCY 1,UNDP_MA,UNDP AS MA_POOLED FUNDS,"270,000.00"
Malaysia,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"267,500.00"
Armenia,10480,USAID,USA,United States of America,USAID,USAID,"267,000.00"
Reg Bureau for Africa,220,GOVERNMENT OF SPAIN,ESP,Spain,ESP_GOVT,Spain Government,"267,000.00"
Uzbekistan,12026,CARDNO,MUTLI_AGY2,MULTI-LATERAL AGENCY2,CARDNO,CARDNO,"264,825.00"
Bratislava Regional Center,216,GOVERNMENT OF SLOVAK REPUBLIC,SVK,Slovak Republic,SVK_GOVT,Slovak Republic Government,"261,783.30"
Democratic Republic of Congo,10480,USAID,USA,United States of America,USAID,USAID,"261,714.82"
China,11863,China Women's Dev Foundation,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,CHINA,CWDF,"260,140.65"
Mali,11688,DEUTSCHE GESELLSCHAFT FUR INTE,DEU,Germany,DEU_AGY_GIZ,Germany Agency GIZ,"259,740.26"
Chad,81,GOVERNMENT OF CHAD,TCD,Chad,TCD_GOVT,Chad Government,"258,563.63"
Zambia,134,GOVERNMENT OF IRELAND,IRL,Ireland,IRL_GOVT,Ireland Government,"258,222.60"
Ethiopia,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"256,410.26"
Tajikistan,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"253,753.36"
Uganda,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"250,353.00"
Brazil,11928,BRA-MAN LATIN AMERICA IND.E.CO,BRA,Brazil,BRA_MIN,Brazil Ministry,"250,125.06"
China,1622,CPR-PRIVATE SECTOR,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PRIVSECT,PRIV_PRIVATE SECTOR,"250,000.00"
Turkey,145,GOVERNMENT OF KUWAIT,KWT,Kuwait,KWT_GOVT,Kuwait Government,"250,000.00"
Liberia,10046,GTZ,DEU,Germany,DEU_AGY_GIZ,Germany Agency GIZ,"249,983.51"
"Moldova, Republic of",11965,SYSLAB International Ltd,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,SYSLAB,Syslab International Ltd,"249,370.00"
Thailand,10480,USAID,USA,United States of America,USAID,USAID,"248,975.88"
Serbia,11969,Municipality of Bosilegard,SRB,SERBIA,SRB_GOVT,SERBIA,"248,390.15"
Reg Bureau for Asia & Pacific,11793,UNDP AS MA_POOLED FUNDS,UN_AGY 1,UN AGENCY 1,UNDP_MA,UNDP AS MA_POOLED FUNDS,"245,000.00"
Tunisia,243,GOVERNMENT OF TUNISIA,TUN,Tunisia,TUN_GOVT,Tunisia Government,"244,063.58"
Tajikistan,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"243,174.04"
Zimbabwe,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"243,139.64"
Colombia,596,COL-ALCALDIA DE VALLEDUPAR,COL,Colombia,COL_MIN,Colombia Ministry,"242,067.44"
Ghana,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"238,632.48"
Evaluation Office,110,GOVERNMENT OF FINLAND,FIN,Finland,FIN_GOVT,Finland Government,"236,661.96"
Democratic Republic of Congo,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"234,745.00"
Viet Nam,10480,USAID,USA,United States of America,USAID,USAID,"231,916.00"
Colombia,10465,AGENCIA CATALANA DE COOP AL DE,ESP,Spain,ESP_GOVT,Spain Government,"231,819.39"
Syria,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"231,654.68"
Afghanistan,10813,AUSTRALIAN DIMA,AUS,Australia,AUS_GOVT,Australia Government,"229,996.05"
Nicaragua,16,INTER-AMERICAN DEVELOPMENT BAN,MUTLI_AGY2,MULTI-LATERAL AGENCY2,IDB,Inter-American Development Ban,"229,875.00"
Bratislava Regional Center,10245,OPEN SOCIETY INSTITUTE,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,OSI,PRIV_OPEN SOCIETY INSTITUTE,"226,000.00"
Montenegro,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"225,151.01"
Bureau for Dev. Policy,11724,European Comm. Humanit. Aid Of,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"225,142.72"
Viet Nam,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"224,700.00"
Reg Bureau for Asia & Pacific,1854,ESCAP,UN_AGY 1,UN AGENCY 1,ESCAP,AGY_ESCAP,"223,146.40"
Brazil,11695,BRA-SEBRAE,BRA,Brazil,BRA_MIN,Brazil Ministry,"219,973.60"
Brazil,11791,BRA-ELETROBRAS FURNAS,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,"219,973.60"
China,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"215,654.22"
China,206,GOVERNMENT OF RUSSIAN FEDERATI,RUS,Russian Federation,RUS_GOVT,Russian Federation Government,"212,500.00"
Paraguay,11724,European Comm. Humanit. Aid Of,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"210,537.06"
Indonesia,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,"210,500.00"
Lebanon,11132,Les Amis Du Liban a Monaco,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,ALM,PRIV_MONACO,"208,638.41"
"Iran, Islamic Republic of",133,GOVERNMENT OF IRAN (ISLAMIC RE,IRN,Islamic Republic of Iran,IRN_GOVT,Islamic Republic of Iran Gover,"207,651.04"
Brazil,11811,BRA-SEC NAC DA JUVENTUDE,BRA,Brazil,BRA_MIN,Brazil Ministry,"206,024.83"
Mauritania,10480,USAID,USA,United States of America,USAID,USAID,"205,640.31"
Kazakhstan,25,EUROPEAN BANK FOR RECONSTRUCTI,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EBRD,Euro Bank for Reconstruct & De,"204,023.00"
Reg Bur for Arab States,11663,SIEMENS AG,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,SIEMENS AG,PRIV,"201,000.00"
Sri Lanka,10480,USAID,USA,United States of America,USAID,USAID,"200,725.00"
Bureau for Dev. Policy,15,WORLD BANK (INT'L. BANK FOR RE,MUTLI_AGY2,MULTI-LATERAL AGENCY2,WB,WORLD BANK,"200,000.00"
"Cameroon, Republic of",141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"200,000.00"
Kosovo,1245,KOS-KOSOVO FOUND. FOR OPEN SOC,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,KFOS,PRIV_KOS-KOSOVO FOUND. FOR OPE,"200,000.00"
Togo,11207,US Department of State,USA,United States of America,USA_GOVT,United States of America Gover,"200,000.00"
Bolivia,329,DANIDA:,DNK,Denmark,DNK_MIN,Denmark Ministry,"199,970.00"
Afghanistan,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"199,589.70"
Nicaragua,10469,Agencia Catalana de Cooperació,ESP,Spain,ESP_GOVT,Spain Government,"198,938.99"
Bratislava Regional Center,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"196,408.33"
Afghanistan,44,GOVERNMENT OF AFGHANISTAN,AFG,Afghanistan,AFG_GOVT,Afghanistan Government,"194,476.29"
United Republic of Tanzania,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"193,731.25"
Croatia,11637,FOND ZA OBNOVU I RAZVOJ GRADA,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,FOND_VUKOV,PRIV,"192,687.28"
Ukraine,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,"192,027.05"
Bureau for Dev. Policy,550,CANADIAN INTERNATIONAL DEVELOP,CAN,Canada,CAN_MIN,Canada Ministry,"192,000.00"
Bosnia and Herzegovina,253,GOVERNMENT OF UNITED STATES OF,USA,United States of America,USA_GOVT,United States of America Gover,"191,600.00"
Uzbekistan,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"190,529.00"
Reg Bureau for Asia & Pacific,11760,HIVOS,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,HIVOS,HIVOS,"190,103.00"
Bosnia and Herzegovina,248,GOVERNMENT OF UNITED KINGDOM,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"189,469.00"
Argentina,11654,Fundacion Provivienda Social,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ARGENTINA,PRIVATE NATIONAL,"189,283.07"
Cape Verde,92,GOVERNMENT OF CAPE VERDE,CPV,Cape Verde,CPV_GOVT,Cape Verde Government,"189,192.39"
Zambia,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"187,000.00"
PB,244,GOVERNMENT OF TURKEY,TUR,Turkey,TUR_GOVT,Turkey Government,"186,628.12"
Congo,10881,TOTAL S.A. Multinational Comp,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,SYR-TOTAL,PRIV_SYR-TOTAL,"186,340.61"
PB,10480,USAID,USA,United States of America,USAID,USAID,"186,316.00"
Ethiopia,112,GOVERNMENT OF FRANCE,FRA,France,FRA_GOVT,France Government,"185,095.33"
India,304,FORD FOUNDATION,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,FF,PRI_FORD FOUNDATION,"185,000.00"
Montenegro,10315,ORG FOR SECURITY AND COOPERATI,MUTLI_AGY2,MULTI-LATERAL AGENCY2,0SCE,INTER-GOVERN_EUROP SEC ORG,"183,110.65"
Bureau for Dev. Policy,10282,SWISS AGY FOR DEVELOPMENT & CO,CHE,Switzerland,CHE_MIN,Switzerland Ministry,"182,979.15"
Fiji,296,UNITED NATIONS,UN_AGY 1,UN AGENCY 1,UN,United Nations,"180,576.73"
Nepal,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"180,011.49"
Tajikistan,11997,EURASIAN DEVELOPMENT BANK,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EABD2,EURASIAN DEVELOPMENT BANK,"180,000.00"
Reg Bur Latin Amer & Carib,1013,ARG-GOBIERNO,ARG,Argentina,ARG_GOVT,Argentina Government,"179,776.89"
Morocco,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"178,155.00"
Ghana,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,"177,620.00"
PB/Liaison/Copenhagen,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,"177,332.91"
Democratic Republic of Congo,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"176,120.36"
Cambodia,11445,UNOPS - EIF Trust Fund manager,UN_AGY 1,UN AGENCY 1,EIF TFM,MULITAG_EIF TF,"175,000.00"
"Belarus, Republic of",10315,ORG FOR SECURITY AND COOPERATI,MUTLI_AGY2,MULTI-LATERAL AGENCY2,0SCE,INTER-GOVERN_EUROP SEC ORG,"173,480.04"
Guinea-Bissau,115,GOVERNMENT OF GUINEA-BISSAU,GNB,Guinea-Bissau,GNB_GOVT,Guinea-Bissau Government,"172,740.36"
Kenya,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,"172,414.02"
United Republic of Tanzania,251,GOVERNMENT OF UNITED REPUBLIC,TZA,United Republic of Tanzania,TZA_GOVT,United Republic of Tanzania Go,"170,156.00"
Bhutan,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"170,130.00"
Pakistan,190,GOVERNMENT OF PAKISTAN,PAK,Pakistan,PAK_GOVT,Pakistan Government,"168,009.74"
Central African Republic,11362,UNOCHA/Central_Emg_Resp_Fund,UN_AGY 1,UN AGENCY 1,OCHA,AGY_UNOCHA1,"167,562.00"
Chad,11445,UNOPS - EIF Trust Fund manager,UN_AGY 1,UN AGENCY 1,EIF TFM,MULITAG_EIF TF,"167,000.00"
Georgia,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"166,030.22"
Yemen,11445,UNOPS - EIF Trust Fund manager,UN_AGY 1,UN AGENCY 1,EIF TFM,MULITAG_EIF TF,"164,000.00"
Burkina Faso,68,GOVERNMENT OF BURKINA FASO,BFA,Burkina Faso,BFA_GOVT,Burkina Faso Government,"163,657.63"
